image,lag,R_horizontal,G_horizontal,B_horizontal,R_vertical,G_vertical,B_vertical
004,2,0.06359622885878713,0.05891429405884464,0.08111357797182003,0.034912953587635506,0.05429419318378504,0.048652453199437916
004,3,0.06270580865597504,0.05865225051837126,0.06149876340488109,0.06523457571372056,0.05320677327264831,0.05547096821663191
004,4,0.05627709534909378,0.03967565261427954,0.04431533443842464,0.04573920371484696,0.06768554993924124,0.053463745475040514
004,5,0.051025530005658334,0.040411570047977796,0.05389477983700307,0.011458255419548927,0.0352607945496839,0.05692325287930909
004,6,0.04052012476121893,0.02116407625590472,0.04050797451120014,0.04324805115236449,0.0439873860758337,0.037524672951736886
004,7,0.04977049579519033,0.059150140772709074,0.043028618778743304,0.052294714234551454,0.04642726409231513,0.03844781047552107
004,8,0.043249530531913924,0.09000826156792864,0.06933865225176318,0.03322894827721808,0.01733385467328527,0.03135666097269472
004,9,0.038885241105193605,0.052390960903219715,0.0410924895898223,0.030460397957017892,0.06730530594511218,0.00663399895119891
004,10,0.042061446609908466,0.05182262791020321,0.029331183891995263,0.026612626057621203,0.019655485055409892,0.04248475632026992
005,1,0.06748881631742737,0.0024530588285667037,0.053631333948131125,0.05304399691926224,0.05887159866396047,0.028175347137061428
005,2,0.029735483120805477,0.03161175920989602,0.03142915875459963,0.05097720263051145,0.031979347360940776,0.033791940307729224
005,3,0.025901223296205964,0.020880318408035618,0.003424689434059386,0.01682157979793891,0.03709850823515633,0.03416831786579214
005,4,0.038073866464581364,0.014691268692151063,0.02127175992632514,0.042938783027122174,0.044627376664719685,0.013432834742014274
005,5,0.012756508221326792,0.006869653164711541,0.02077074147235069,-0.0017573920108885767,-0.007772187494212937,0.0051364983356800105
005,6,0.02391067714278347,0.00354974822091083,0.013970627509966983,-0.0021332745704253013,0.017034909706367805,0.007842955259174484
005,7,0.008811811918562557,0.016537836371690904,0.05213991930555998,0.016223671076797588,0.007466758116440872,0.027390718310061898
005,8,0.0595900837097145,0.04710363724361002,0.02338833535003658,0.019117503750753526,-0.0033026945764590043,0.00958855572256084
005,9,-0.0014461446383586918,0.004333042336587625,0.02054802356705287,0.02788044885464272,0.02132439252258201,0.009548432300909852
005,10,0.017021563683633056,0.00855375435012796,0.031739597548530424,0.022513999259902356,0.010053700986626593,0.017953376383226503
006,1,0.03590191813552484,0.045919831084127,0.06687942605972277,0.02363560029191019,0.02234383536421402,0.027098724008026872
006,2,0.05537285482972798,0.031690702775869675,0.010346410506925991,0.023631154914499568,0.022711512462398387,0.00913346946065317
006,3,0.024705954567657354,0.03685597342063319,0.03695989558421322,-0.000546917014440282,0.020776336020775804,0.008247518945243436
006,4,0.012789958591075545,0.01636369331129341,0.040424561614642855,0.040775315689599335,0.022363138863623632,0.013421003018964425
006,5,0.03334300033298556,0.025387011782730454,0.01668870104218974,0.01576014268362366,0.033417234161896375,0.027720408271834446
006,6,0.013775291822669842,0.055158831428216724,0.027132872284901813,0.016522435898329198,0.0154390720418731,0.01205448102028899
006,7,0.024258822366242494,0.034765594893093395,0.049897798903872616,0.03814589203945861,0.02412719388818613,0.03328984625198247
