image,R_mean,R_std,R_skew,R_kurtosis,G_mean,G_std,G_skew,G_kurtosis,B_mean,B_std,B_skew,B_kurtosis,overall_mean,overall_std,psnr,ssim
263,-3.3675482,29.10036,0.02950961,1.7699556,8.897255,28.379719,0.08179123,1.6360669,10.119431,27.660786,0.059200637,2.1822143,5.2163787,29.032345,18.73517373038593,0.4742906202840352
264,8.214153,28.271889,0.27138063,1.5117688,7.660841,28.622223,0.21289346,1.3478966,0.76692575,25.696135,0.3126229,2.9654326,5.547307,27.768412,19.08983326609316,0.4733460746421258
265,-1.263361,19.105396,0.497929,6.1679783,3.7249956,17.963795,0.58621085,7.4797544,-0.6873679,17.058172,0.8206603,12.771326,0.59142226,18.19881,22.925359225497356,0.6040371648046919
266,4.0865493,41.761288,-0.112110764,-0.14000034,5.1728597,40.250927,-0.052683387,-0.11591029,-4.8612437,42.04386,-0.00013707284,-0.102164984,1.466055,41.60317,15.7428857388663,0.13372136631512044
267,-1.6568261,32.246544,0.09374709,0.74967694,-4.4905624,30.372677,0.09469487,0.9633608,-2.8395634,29.901695,0.112346,1.3222556,-2.9956508,30.878807,18.296910959777474,0.5363001535319643
268,3.4620645,31.967365,0.0756776,0.18056774,-2.0828676,30.851267,0.0915496,0.38393092,-2.7364979,29.950825,0.11548687,0.676661,-0.45243365,31.058887,18.28616390334584,0.24344441527153515
269,-3.2014797,33.903778,0.22281128,0.613652,-1.9896439,32.246994,0.22524968,0.8772471,9.882692,34.081196,0.20078951,0.5529227,1.5638562,33.938187,17.50781912734067,0.2869471262917725
270,-2.3772895,24.081228,0.14473417,0.97698236,2.840168,23.421774,0.15433611,1.0916457,4.8566504,23.275244,0.16885641,1.2867708,1.7731763,23.791416,20.57834024266058,0.42980226553485595
271,-1.1315341,28.25515,0.39120653,2.0907283,9.135638,28.169827,0.37849906,1.9080472,1.0440104,25.992363,0.4306133,3.272828,3.0160382,27.845026,19.185195572513166,0.4705728398450961
272,-2.2424517,31.680557,0.11700195,1.2581229,-1.9529939,30.12605,0.11545702,1.4772344,-2.474338,28.29716,0.04595439,2.6639023,-2.223261,30.067158,18.545274936560887,0.4417924146894377
273,4.400099,26.618177,0.06996615,0.5676837,4.340038,25.621094,0.10721971,0.6948328,-2.1400113,25.090515,0.14717306,1.0650334,2.2000418,25.966375,19.811512677329258,0.5154874964302388
274,6.534636,30.57763,0.16505721,0.8475225,-3.1403658,28.64264,0.18507713,1.2505736,8.73365,25.755455,0.28670233,2.7762585,4.04264,28.859121,18.840745333929995,0.3054474214421541
275,6.808239,37.942356,-0.058596138,0.040372133,5.319028,35.409206,-0.05641261,0.22374225,-3.796442,36.5446,-0.066732034,0.3211236,2.7769418,36.945297,16.75515377796658,0.12206119211539769
276,-4.3626595,34.39824,-0.1011632,0.9990308,-4.5025344,32.750824,-0.044412505,1.0943351,7.186745,32.73064,-0.06772031,1.3175979,-0.55948293,33.749893,17.564162278456642,0.4997864496431746
