image,noisy_psnr,denoised_psnr,delta_psnr,noisy_ssim,denoised_ssim,delta_ssim,runtime_seconds,severity,severity_group
59,25.008895378401093,29.92624757777747,4.917352199376378,0.6034593900709143,0.8409828920796385,0.2375235020087241,0.1922447999968426,0.5107143526397243,Low
60,23.42360786630763,28.18116263038274,4.75755476407511,0.7571857949655479,0.8997645352035158,0.1425787402379679,0.1792986000073142,0.5813411350261203,Low
61,18.30004279954806,21.269414848115137,2.9693720485670774,0.6998395561462137,0.7765991891515425,0.0767596330053287,0.1901475999911781,0.9407969334714568,Medium
62,16.35953428880488,19.592461102931903,3.2329268141270227,0.6712726981281096,0.769498555361531,0.0982258572334213,0.1919273999956203,1.23633994945441,High
63,17.750737029378072,21.46173508442121,3.710998055043138,0.4733385466340747,0.6915624769335839,0.2182239302995091,0.1921445000043604,1.1737789906789533,High
64,19.152362564214037,24.72505964473168,5.572697080517646,0.563499713984386,0.8004331947476931,0.2369334807633071,0.1779347999981837,0.9371091287196258,Medium
65,18.14604907144356,22.71525936805643,4.569210296612869,0.41293699700781,0.6031383151200821,0.190201318112272,0.1751913000043714,1.1445324766981575,High
66,20.26123336966213,25.40738730336846,5.14615393370633,0.4683874398384971,0.7255170637408964,0.2571296239023993,0.17782489999081,0.8262537628303542,Medium
67,25.97502789163396,29.24888199380063,3.2738541021666734,0.7067137899600469,0.8494970745407132,0.1427832845806663,0.189291199989384,0.6107341415313532,Low
68,21.507092306121216,26.690775191707115,5.183682885585899,0.3601656193597093,0.673279950007679,0.3131143306479697,0.1799445000069681,1.0620458130138792,High
69,17.135443853642023,21.781572327997495,4.646128474355475,0.4517735370563859,0.6872693866808627,0.2354958496244767,0.1961483999912161,1.24108525592909,High
70,18.80082128401203,26.605003596826805,7.804182312814774,0.2896711734727509,0.675288765199979,0.3856175917272281,0.2243952999997418,0.9142694104475144,Medium
71,21.739921018160228,25.23799973350016,3.498078715339929,0.594383494830955,0.7815430838967022,0.1871595890657472,0.2089340000093216,0.8472290912416631,Medium
72,18.736805511006988,22.013147205765957,3.2763416947589654,0.5882867323111051,0.7232871137736602,0.1350003814625551,0.2078543000097852,1.1470071480249582,High
73,23.057136946798813,25.64847359961956,2.591336652820747,0.7654953448804669,0.8395134838572599,0.0740181389767929,0.1880587999912677,0.6201027273807035,Low
74,15.445788537198942,23.497132904878203,8.051344367679262,0.1222193063583435,0.4221255851321863,0.2999062787738428,0.1861482999956933,1.190443233685803,High
75,17.681679147891,25.164857419286555,7.4831782713955555,0.2831597133291454,0.6597260172452661,0.3765663039161207,0.225433300001896,1.1602031487780902,High
76,25.26008036300173,27.769933606618054,2.5098532436163232,0.7993278190760557,0.8870025618398962,0.0876747427638405,0.1795960999879753,0.5929433086281547,Low
77,16.714998584365947,25.485764031020768,8.77076544665482,0.1670296360741278,0.5744978360268885,0.4074681999527607,0.1999572000058833,1.2270554482878606,High
78,24.03663820518785,28.56281535242816,4.526177147240308,0.5671905245739634,0.7959686972762409,0.2287781727022775,0.2035123999958159,0.5609834539588535,Low
79,20.294278545610883,24.140506218861614,3.8462276732507306,0.5528751990372386,0.7497960370583431,0.1969208380211045,0.1817947000090498,0.9285042538760164,Medium
80,19.94419261949788,23.8499196194697,3.9057269999718223,0.5218578364387186,0.6910303400073707,0.1691725035686521,0.1793709000048693,1.102031239701893,High
81,16.691973549887578,21.89632640334494,5.204352853457362,0.4223193457003378,0.6767713512692369,0.2544520055688991,0.1853801999968709,1.224621060466384,High
82,17.01046393143564,24.607916873784426,7.597452942348781,0.2054359853368793,0.5554493253985667,0.3500133400616874,0.1843217999994522,1.081315066866462,High
